Age,Min,Gls,Ast,npxG,xAG,Sh,SoT,Cmp,Att,KP,PPA,CrsPA,PrgP,Touches,PrgC,Succ,Dis,Rec,Tkl,Int,Blocks,Clr,Recov,Won,CrdY,CrdR,Fls,Fld,Off,Crs,value,days_missed,games_missed,height,Club_Rank,Country_Rank,Pos_FW,Pos_MF,foot_left,foot_right
24.0,3116.0,1.0,1.0,3.4,1.0,30.0,5.0,1207.0,1477.0,8.0,4.0,2.0,65.0,1934.0,8.0,8.0,6.0,1136.0,68.0,54.0,12.0,207.0,130.0,60.0,5.0,0.0,34.0,0.0,0.0,7.0,25000000.0,0.0,0.0,190.0,56,2,False,False,False,True
22.0,3114.0,8.0,10.0,6.6,7.8,55.0,20.0,664.0,907.0,51.0,56.0,3.0,123.0,1362.0,114.0,66.0,74.0,956.0,43.0,6.0,45.0,20.0,119.0,13.0,10.0,0.0,50.0,5.0,7.0,27.0,55000000.0,27.0,3.0,187.0,77,4,True,False,False,True
23.0,3109.0,4.0,7.0,2.7,5.5,36.0,10.0,1449.0,1721.0,46.0,30.0,10.0,108.0,2148.0,89.0,63.0,47.0,1321.0,89.0,26.0,42.0,75.0,145.0,22.0,7.0,1.0,30.0,4.0,4.0,94.0,35000000.0,0.0,0.0,180.0,2,2,False,False,True,False
23.0,3103.0,2.0,0.0,1.6,0.9,30.0,9.0,1067.0,1250.0,14.0,11.0,0.0,106.0,1647.0,24.0,10.0,24.0,876.0,102.0,47.0,23.0,57.0,184.0,30.0,5.0,0.0,51.0,3.0,6.0,3.0,20000000.0,18.0,1.0,178.0,266,21,False,True,False,True
23.0,3093.0,1.0,3.0,3.1,3.2,28.0,14.0,982.0,1273.0,26.0,47.0,18.0,98.0,1613.0,98.0,41.0,20.0,966.0,49.0,21.0,29.0,76.0,146.0,27.0,7.0,0.0,18.0,6.0,8.0,78.0,23000000.0,0.0,0.0,170.0,99,4,True,False,False,True
25.0,3092.0,5.0,5.0,2.7,5.4,35.0,13.0,720.0,1140.0,63.0,38.0,29.0,68.0,1551.0,104.0,34.0,49.0,898.0,47.0,14.0,67.0,40.0,133.0,34.0,3.0,0.0,38.0,5.0,9.0,269.0,10000000.0,13.0,2.0,179.0,299,3,True,False,False,True
25.0,3092.0,0.0,5.0,1.3,6.4,12.0,3.0,976.0,1355.0,41.0,33.0,16.0,70.0,1754.0,63.0,16.0,30.0,902.0,91.0,19.0,61.0,108.0,168.0,20.0,2.0,0.0,23.0,2.0,5.0,105.0,25000000.0,0.0,0.0,181.0,56,4,False,False,True,False
27.0,3085.0,0.0,8.0,0.9,5.5,16.0,4.0,1221.0,1685.0,65.0,30.0,21.0,90.0,1951.0,50.0,12.0,17.0,1039.0,71.0,19.0,30.0,73.0,146.0,20.0,5.0,0.0,38.0,2.0,5.0,256.0,6500000.0,43.0,5.0,178.0,266,3,False,False,True,False
25.0,3082.0,1.0,2.0,0.5,2.6,14.0,1.0,986.0,1322.0,24.0,40.0,24.0,110.0,1678.0,33.0,8.0,11.0,860.0,63.0,44.0,23.0,145.0,88.0,47.0,4.0,0.0,22.0,0.0,3.0,101.0,28000000.0,143.0,16.0,180.0,135,25,False,False,True,False
25.0,3079.0,0.0,3.0,0.2,3.5,8.0,0.0,1139.0,1573.0,30.0,50.0,30.0,106.0,1902.0,101.0,24.0,29.0,1075.0,53.0,8.0,63.0,92.0,118.0,27.0,9.0,0.0,31.0,3.0,4.0,169.0,12000000.0,0.0,0.0,182.0,52,3,False,False,False,True
25.0,3074.0,1.0,0.0,1.0,0.1,14.0,4.0,1934.0,2155.0,3.0,3.0,0.0,116.0,2463.0,39.0,15.0,8.0,1716.0,54.0,20.0,17.0,118.0,168.0,43.0,7.0,0.0,26.0,0.0,2.0,8.0,25000000.0,4.0,1.0,185.0,416,4,False,False,True,False
25.0,3060.0,2.0,0.0,0.9,3.6,11.0,5.0,1318.0,1723.0,28.0,24.0,15.0,146.0,2017.0,57.0,13.0,7.0,1191.0,40.0,23.0,44.0,93.0,123.0,21.0,4.0,0.0,25.0,0.0,10.0,72.0,4000000.0,13.0,1.0,187.0,327,9,False,False,False,True
26.0,3060.0,1.0,1.0,2.6,1.4,32.0,4.0,995.0,1270.0,13.0,6.0,3.0,96.0,1654.0,13.0,3.0,6.0,1000.0,37.0,44.0,20.0,169.0,97.0,93.0,4.0,0.0,36.0,2.0,5.0,10.0,13000000.0,75.0,12.0,190.0,34,7,False,False,False,True
30.0,3060.0,1.0,1.0,1.9,0.3,25.0,8.0,1425.0,1669.0,7.0,5.0,0.0,102.0,2136.0,21.0,6.0,8.0,1257.0,58.0,68.0,17.0,206.0,152.0,109.0,3.0,0.0,17.0,0.0,5.0,4.0,3000000.0,0.0,0.0,194.0,60,10,False,False,False,True
31.0,3060.0,0.0,1.0,0.6,1.1,9.0,1.0,1446.0,1749.0,10.0,11.0,4.0,89.0,2144.0,6.0,8.0,2.0,1420.0,52.0,32.0,21.0,206.0,110.0,40.0,3.0,0.0,14.0,1.0,10.0,12.0,1500000.0,0.0,0.0,184.0,393,2,False,False,True,False
24.0,3059.0,3.0,2.0,2.0,1.8,15.0,7.0,1473.0,1765.0,16.0,11.0,3.0,134.0,2131.0,22.0,12.0,18.0,1330.0,61.0,28.0,9.0,163.0,146.0,68.0,9.0,1.0,24.0,2.0,6.0,13.0,45000000.0,89.0,15.0,182.0,56,4,False,False,False,True
33.0,3058.0,4.0,4.0,0.9,2.3,14.0,4.0,1950.0,2258.0,25.0,27.0,3.0,242.0,2538.0,37.0,6.0,9.0,1754.0,74.0,47.0,17.0,67.0,140.0,46.0,5.0,0.0,48.0,1.0,1.0,28.0,5000000.0,65.0,5.0,185.0,36,7,False,False,False,True
24.0,3057.0,11.0,5.0,9.7,2.9,134.0,38.0,434.0,654.0,30.0,15.0,1.0,56.0,1051.0,42.0,17.0,40.0,786.0,18.0,7.0,28.0,24.0,72.0,91.0,6.0,0.0,57.0,5.0,2.0,8.0,15000000.0,0.0,0.0,185.0,357,32,True,False,False,True
24.0,3043.0,0.0,0.0,0.9,1.2,20.0,2.0,1153.0,1439.0,19.0,19.0,1.0,159.0,1814.0,53.0,32.0,31.0,1027.0,61.0,65.0,26.0,56.0,190.0,83.0,3.0,0.0,16.0,4.0,5.0,11.0,20000000.0,0.0,0.0,176.0,65,15,False,True,False,True
26.0,3041.0,3.0,0.0,2.4,0.3,36.0,8.0,1491.0,1760.0,7.0,6.0,2.0,96.0,2190.0,37.0,5.0,5.0,1387.0,56.0,50.0,19.0,150.0,122.0,93.0,9.0,0.0,31.0,2.0,3.0,7.0,14000000.0,32.0,5.0,185.0,266,19,False,False,True,False
23.0,3039.0,2.0,0.0,2.3,0.9,6.0,2.0,2413.0,2559.0,7.0,6.0,0.0,138.0,2824.0,16.0,12.0,8.0,2137.0,62.0,21.0,4.0,119.0,154.0,61.0,2.0,1.0,28.0,0.0,5.0,3.0,80000000.0,19.0,4.0,192.0,22,2,False,False,False,True
26.0,3032.0,6.0,4.0,2.7,3.1,57.0,22.0,2010.0,2237.0,39.0,31.0,2.0,226.0,2543.0,66.0,16.0,1.0,1905.0,50.0,55.0,23.0,52.0,174.0,27.0,4.0,0.0,12.0,0.0,11.0,26.0,130000000.0,28.0,4.0,182.0,3,3,False,False,False,True
22.0,3026.0,2.0,0.0,1.9,0.1,20.0,6.0,1428.0,1692.0,3.0,1.0,0.0,79.0,2096.0,20.0,11.0,4.0,1318.0,49.0,22.0,14.0,222.0,104.0,87.0,7.0,0.0,56.0,0.0,5.0,1.0,10000000.0,0.0,0.0,194.0,110,3,False,False,False,True
